"comparison","gene_id"
"1dpa_vs_0dpa","ENSDARG00000010745"
"1dpa_vs_0dpa","ENSDARG00000010782"
"1dpa_vs_0dpa","ENSDARG00000010785"
"1dpa_vs_0dpa","ENSDARG00000010792"
"1dpa_vs_0dpa","ENSDARG00000010794"
"1dpa_vs_0dpa","ENSDARG00000010831"
"1dpa_vs_0dpa","ENSDARG00000010873"
"1dpa_vs_0dpa","ENSDARG00000010948"
"1dpa_vs_0dpa","ENSDARG00000011020"
"1dpa_vs_0dpa","ENSDARG00000011146"
"1dpa_vs_0dpa","ENSDARG00000011170"
"1dpa_vs_0dpa","ENSDARG00000011272"
"1dpa_vs_0dpa","ENSDARG00000011298"
"1dpa_vs_0dpa","ENSDARG00000011371"
"1dpa_vs_0dpa","ENSDARG00000011407"
"1dpa_vs_0dpa","ENSDARG00000011462"
"1dpa_vs_0dpa","ENSDARG00000011506"
"1dpa_vs_0dpa","ENSDARG00000011533"
"1dpa_vs_0dpa","ENSDARG00000011579"
"1dpa_vs_0dpa","ENSDARG00000011597"
"1dpa_vs_0dpa","ENSDARG00000011618"
"1dpa_vs_0dpa","ENSDARG00000011673"
"1dpa_vs_0dpa","ENSDARG00000011683"
"1dpa_vs_0dpa","ENSDARG00000011693"
"1dpa_vs_0dpa","ENSDARG00000011770"
"1dpa_vs_0dpa","ENSDARG00000011821"
"1dpa_vs_0dpa","ENSDARG00000011869"
"1dpa_vs_0dpa","ENSDARG00000011870"
"1dpa_vs_0dpa","ENSDARG00000011929"
"1dpa_vs_0dpa","ENSDARG00000011932"
"1dpa_vs_0dpa","ENSDARG00000011961"
"1dpa_vs_0dpa","ENSDARG00000012013"
"1dpa_vs_0dpa","ENSDARG00000012016"
"1dpa_vs_0dpa","ENSDARG00000012071"
"1dpa_vs_0dpa","ENSDARG00000012248"
"1dpa_vs_0dpa","ENSDARG00000012261"
"1dpa_vs_0dpa","ENSDARG00000012395"
"1dpa_vs_0dpa","ENSDARG00000012422"
"1dpa_vs_0dpa","ENSDARG00000012450"
"1dpa_vs_0dpa","ENSDARG00000012485"
"1dpa_vs_0dpa","ENSDARG00000012519"
"1dpa_vs_0dpa","ENSDARG00000012671"
"1dpa_vs_0dpa","ENSDARG00000012682"
"1dpa_vs_0dpa","ENSDARG00000012718"
"1dpa_vs_0dpa","ENSDARG00000012776"
"1dpa_vs_0dpa","ENSDARG00000012892"
"1dpa_vs_0dpa","ENSDARG00000012968"
"1dpa_vs_0dpa","ENSDARG00000012972"
"1dpa_vs_0dpa","ENSDARG00000012981"
"1dpa_vs_0dpa","ENSDARG00000013031"
"1dpa_vs_0dpa","ENSDARG00000013056"
"1dpa_vs_0dpa","ENSDARG00000013058"
"1dpa_vs_0dpa","ENSDARG00000013078"
"1dpa_vs_0dpa","ENSDARG00000013125"
"1dpa_vs_0dpa","ENSDARG00000013307"
"1dpa_vs_0dpa","ENSDARG00000013371"
"1dpa_vs_0dpa","ENSDARG00000013430"
"1dpa_vs_0dpa","ENSDARG00000013476"
"1dpa_vs_0dpa","ENSDARG00000013522"
"1dpa_vs_0dpa","ENSDARG00000013542"
"1dpa_vs_0dpa","ENSDARG00000013576"
"1dpa_vs_0dpa","ENSDARG00000013670"
