"","4dpa_1","4dpa_2","1dpa_1","1dpa_2","0dpa_1","0dpa_2"
"frem2a",2.00713714523526,1.72229061205595,-0.385748854222467,-0.0641887355771544,-1.75834260465067,-1.52114756284091
"ENSDARG00000116751",2.91066854621698,2.26845175909499,-0.856151201605393,-0.568048591763847,-2.43461053588008,-1.32030997606265
"cyp8b1.3",-1.22441182667395,-1.4872393359089,-0.620141649628449,-0.881772177894751,2.01063338749923,2.20293160260683
"adamts3",2.25023761983553,1.9575830473026,-0.44517296017847,-0.538978607194299,-1.81735164123116,-1.4063174585342
"ENSDARG00000103750",2.94249921366243,2.23490806966371,-0.636467455576227,-1.60459236124291,-1.54834889700978,-1.38799856949724
"igsf3",1.55429030121915,1.36753850149521,0.633130867939709,0.476269197267099,-2.11964432396279,-1.91158454395837
"cebpd",-1.7955945927219,-1.13945657547307,-1.34358528403768,-0.783399070669258,3.00063564989666,2.06139987300525
"hsd17b7",-1.59492810193092,-1.16740935911655,-0.842136023991811,-0.797889151599902,2.4987319563118,1.90363068032739
"ccl25b",-2.11659805708241,-1.39580215524292,-0.759637365188514,-0.816349486163709,3.33044193932053,1.75794512435703
"cyp8b1.2",-1.36909695757163,-1.60399137229716,-0.322695661819589,-0.825444365559084,1.89118938920376,2.2300389680437
"zgc:153911",-1.97815042296624,-0.942705851238506,-1.27576338730939,-1.28714833924086,3.28404977345504,2.19971822729997
"tcf7",1.76479422944061,1.89275224960528,-0.156022763742265,-0.0444017936386452,-1.94654944333302,-1.51057247833195
"mki67",1.19891620259491,0.995741718892103,0.874314939896727,1.02307123109162,-1.97616126075284,-2.11588283172253
"mapk6",1.32147004025836,1.03312987263675,1.14533214842253,1.07379373001868,-2.6331515469005,-1.9405742444358
"ptch2",2.08695373952021,1.86960224146509,-0.419919598554474,-0.563934394139507,-1.67814006668899,-1.29456192160232
"anln",1.22541960383399,0.945942523676213,0.930296887535513,0.951353670028223,-2.04706751878417,-2.00594516628977
"si:dkey-193p11.2",-2.01665614581785,-1.16969535894593,-1.03230766819402,-0.923759615017,3.29303726642144,1.84938152155337
"phlda2",-1.94272057146268,-1.66230196563299,-0.690953692398777,-0.437926044966471,3.28271218565665,1.45119008880426
"zgc:158463",2.8796015319226,2.63452993731793,0.136923446307808,0.146742044813877,-4.21880056754027,-1.57899639282194
"socs3a",-1.88214601218999,-1.34728377712305,-0.99270064556673,-0.61677744165044,3.14285504317731,1.6960528333529
"ENSDARG00000113526",3.08355043500652,2.88129646619403,-0.106840242087994,-0.286631020430447,-4.18119799223394,-1.39017764644816
