"comparison","ensembl_id","gene_symbol"
"1dpa_vs_0dpa","ENSDARG00000010250","nqo1"
"1dpa_vs_0dpa","ENSDARG00000010276","ptgs2b"
"1dpa_vs_0dpa","ENSDARG00000010331",NA
"1dpa_vs_0dpa","ENSDARG00000010381","rnf2"
"1dpa_vs_0dpa","ENSDARG00000010423","npsn"
"1dpa_vs_0dpa","ENSDARG00000010437","tent5c"
"1dpa_vs_0dpa","ENSDARG00000010445","trabd"
"1dpa_vs_0dpa","ENSDARG00000010524","si:ch211-282j22.3"
"1dpa_vs_0dpa","ENSDARG00000010531","scamp4"
"1dpa_vs_0dpa","ENSDARG00000010553","mmgt1"
"1dpa_vs_0dpa","ENSDARG00000010641","slc20a1b"
"1dpa_vs_0dpa","ENSDARG00000010658","insig1"
"1dpa_vs_0dpa","ENSDARG00000010745","dnaja2b"
"1dpa_vs_0dpa","ENSDARG00000010782","ppt2a.2"
"1dpa_vs_0dpa","ENSDARG00000010785","thbs1b"
"1dpa_vs_0dpa","ENSDARG00000010792","cdc25b"
"1dpa_vs_0dpa","ENSDARG00000010794","tfeb"
"1dpa_vs_0dpa","ENSDARG00000010831","churc1"
"1dpa_vs_0dpa","ENSDARG00000010873","ddx17"
"1dpa_vs_0dpa","ENSDARG00000010948","kif11"
"1dpa_vs_0dpa","ENSDARG00000011020","hnrnpa1a"
"1dpa_vs_0dpa","ENSDARG00000011146","uqcrb"
"1dpa_vs_0dpa","ENSDARG00000011170","ndrg2"
"1dpa_vs_0dpa","ENSDARG00000011272","uqcc2"
"1dpa_vs_0dpa","ENSDARG00000011298","atf7a"
"1dpa_vs_0dpa","ENSDARG00000011371","zgc:64106"
"1dpa_vs_0dpa","ENSDARG00000011407","col2a1b"
"1dpa_vs_0dpa","ENSDARG00000011462","otub1b"
"1dpa_vs_0dpa","ENSDARG00000011506","lpcat1"
"1dpa_vs_0dpa","ENSDARG00000011533","sema6d"
"1dpa_vs_0dpa","ENSDARG00000011579","hoxb10a"
"1dpa_vs_0dpa","ENSDARG00000011597","atxn2l"
"1dpa_vs_0dpa","ENSDARG00000011618","slc26a2"
"1dpa_vs_0dpa","ENSDARG00000011673",NA
"1dpa_vs_0dpa","ENSDARG00000011683","prtfdc1b"
"1dpa_vs_0dpa","ENSDARG00000011693","ttc36"
"1dpa_vs_0dpa","ENSDARG00000011770","dhrs12"
"1dpa_vs_0dpa","ENSDARG00000011821","plod2"
"1dpa_vs_0dpa","ENSDARG00000011869","galnt8a.2"
"1dpa_vs_0dpa","ENSDARG00000011870","sp8a"
"1dpa_vs_0dpa","ENSDARG00000011929","plp1b"
"1dpa_vs_0dpa","ENSDARG00000011932","prkcbp1l"
"1dpa_vs_0dpa","ENSDARG00000011961","csrp2"
"1dpa_vs_0dpa","ENSDARG00000012013","cpa6"
"1dpa_vs_0dpa","ENSDARG00000012016","hpgd"
"1dpa_vs_0dpa","ENSDARG00000012071","angptl1a"
"1dpa_vs_0dpa","ENSDARG00000012248","rgma"
"1dpa_vs_0dpa","ENSDARG00000012261","eftud2"
"1dpa_vs_0dpa","ENSDARG00000012395","mmp13a"
"1dpa_vs_0dpa","ENSDARG00000012422","col11a2"
"1dpa_vs_0dpa","ENSDARG00000012450","vmp1"
"1dpa_vs_0dpa","ENSDARG00000012485","aurka"
"1dpa_vs_0dpa","ENSDARG00000012519","hcfc1b"
"1dpa_vs_0dpa","ENSDARG00000012671","inhbaa"
"1dpa_vs_0dpa","ENSDARG00000012682","pfn2a"
"1dpa_vs_0dpa","ENSDARG00000012718","wee2"
"1dpa_vs_0dpa","ENSDARG00000012776","smarca1"
"1dpa_vs_0dpa","ENSDARG00000012892","ammecr1"
"1dpa_vs_0dpa","ENSDARG00000012968","rhoub"
"1dpa_vs_0dpa","ENSDARG00000012972","cfl1l"
"1dpa_vs_0dpa","ENSDARG00000012981","osbpl7"
"1dpa_vs_0dpa","ENSDARG00000013031","mta2"
"1dpa_vs_0dpa","ENSDARG00000013056","itpk1a"
"1dpa_vs_0dpa","ENSDARG00000013058","ascc2"
"1dpa_vs_0dpa","ENSDARG00000013078","ywhaba"
"1dpa_vs_0dpa","ENSDARG00000013125","dlx1a"
"1dpa_vs_0dpa","ENSDARG00000013307","rpl19"
"1dpa_vs_0dpa","ENSDARG00000013371","isoc2"
"1dpa_vs_0dpa","ENSDARG00000013430","bhmt"
"1dpa_vs_0dpa","ENSDARG00000013476","arhgef39"
"1dpa_vs_0dpa","ENSDARG00000013522","pck1"
"1dpa_vs_0dpa","ENSDARG00000013542","lpgat1"
"1dpa_vs_0dpa","ENSDARG00000013576","gadd45bb"
"1dpa_vs_0dpa","ENSDARG00000013670","hyou1"
"1dpa_vs_0dpa","ENSDARG00000013681","shisa10.1"
"1dpa_vs_0dpa","ENSDARG00000013687","cilp2"
"1dpa_vs_0dpa","ENSDARG00000013694","stimate"
"1dpa_vs_0dpa","ENSDARG00000013705","ccm2"
"1dpa_vs_0dpa","ENSDARG00000013719","gtse1"
"1dpa_vs_0dpa","ENSDARG00000013749","slc25a55b"
"1dpa_vs_0dpa","ENSDARG00000013804","capns1b"
"1dpa_vs_0dpa","ENSDARG00000013838","sulf2b"
"1dpa_vs_0dpa","ENSDARG00000013841","abl2"
"1dpa_vs_0dpa","ENSDARG00000013860","ptpmt1"
"1dpa_vs_0dpa","ENSDARG00000013892","sorl1"
"1dpa_vs_0dpa","ENSDARG00000013926","slc16a9a"
"1dpa_vs_0dpa","ENSDARG00000013928","plekhb2"
"1dpa_vs_0dpa","ENSDARG00000013946","ivns1abpb"
"1dpa_vs_0dpa","ENSDARG00000013968","psap"
"1dpa_vs_0dpa","ENSDARG00000013979","ndfip1"
"1dpa_vs_0dpa","ENSDARG00000014024","ms4a17a.4"
"1dpa_vs_0dpa","ENSDARG00000014047","cldn7b"
"1dpa_vs_0dpa","ENSDARG00000014053","olfm1b"
"1dpa_vs_0dpa","ENSDARG00000014137","picalmb"
"1dpa_vs_0dpa","ENSDARG00000014139","srp72"
"1dpa_vs_0dpa","ENSDARG00000014248","pdlim3b"
"1dpa_vs_0dpa","ENSDARG00000014303","vac14"
"1dpa_vs_0dpa","ENSDARG00000014313","atp5pf"
"1dpa_vs_0dpa","ENSDARG00000014329","npm1a"
"1dpa_vs_0dpa","ENSDARG00000014488","ca2"
"1dpa_vs_0dpa","ENSDARG00000014498","ythdf2"
"1dpa_vs_0dpa","ENSDARG00000014506","tmem126a"
"1dpa_vs_0dpa","ENSDARG00000014554","ppp1r3cb"
"1dpa_vs_0dpa","ENSDARG00000014571","ctnnb1"
"1dpa_vs_0dpa","ENSDARG00000014591","ilf2"
"1dpa_vs_0dpa","ENSDARG00000014646","aoc2"
"1dpa_vs_0dpa","ENSDARG00000014680","znf710a"
"1dpa_vs_0dpa","ENSDARG00000014682","tmem26b"
"1dpa_vs_0dpa","ENSDARG00000014685","esco2"
"1dpa_vs_0dpa","ENSDARG00000014717",NA
"1dpa_vs_0dpa","ENSDARG00000014731","cacybp"
"1dpa_vs_0dpa","ENSDARG00000014763","arf2a"
"1dpa_vs_0dpa","ENSDARG00000014796","wnt11"
"1dpa_vs_0dpa","ENSDARG00000014915","ndufab1b"
"1dpa_vs_0dpa","ENSDARG00000014943","kif23"
"1dpa_vs_0dpa","ENSDARG00000014963","triap1"
"1dpa_vs_0dpa","ENSDARG00000014975","LOC100333286"
"1dpa_vs_0dpa","ENSDARG00000015016","kif26ab"
"1dpa_vs_0dpa","ENSDARG00000015025","l1camb"
"1dpa_vs_0dpa","ENSDARG00000015123","dnase1l4.1"
"1dpa_vs_0dpa","ENSDARG00000015128","rpl27"
"1dpa_vs_0dpa","ENSDARG00000015156","fbln2"
"1dpa_vs_0dpa","ENSDARG00000015164","mknk2b"
"1dpa_vs_0dpa","ENSDARG00000015199","cblb"
"1dpa_vs_0dpa","ENSDARG00000015208","rbbp7"
"1dpa_vs_0dpa","ENSDARG00000015224","cd2ap"
"1dpa_vs_0dpa","ENSDARG00000015273","alpi.1"
"1dpa_vs_0dpa","ENSDARG00000015385","ndufs3"
"1dpa_vs_0dpa","ENSDARG00000015460","racgap1"
