"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSDARG00000079723",40.8817297201433,0.919891162399327,0.602030011670286,1.52798223438589,0.126516948928445,0.360704414592052,"tnrc6bb.1"
"ENSDARG00000079725",97.8624898015373,0.0658253076201538,0.482564511512647,0.136407270012081,0.891499326760849,0.962744278215975,"dhx9"
"ENSDARG00000079731",262.933514761199,-0.425553975053454,0.481308915169678,-0.884159760272529,0.376609977120557,0.651564053976488,"kif13ba"
"ENSDARG00000079738",32.844368833859,1.36799907251467,0.650695045201725,2.10236589720853,0.0355212361433566,0.177333278221373,"znf219"
"ENSDARG00000079740",23.0006480704714,1.20014441718781,0.721810663837885,1.66268590547916,0.0963753249971759,0.309969067359855,NA
"ENSDARG00000079742",105.11715087567,0.0446782664817771,0.489657389191686,0.0912439339586621,0.927298766275444,0.976892488275725,"mcf2l2"
"ENSDARG00000079745",849.055390265987,-0.199030580066321,0.384193232068667,-0.518048116034351,0.604424698765049,0.816438097249309,"si:ch211-166a6.5"
"ENSDARG00000079751",143.638650442004,1.1980384203244,0.446637695822929,2.68234954534461,0.00731070281718705,0.0720865534063991,"megf8"
"ENSDARG00000079752",236.476285453255,4.48113307040744,0.453899230325966,9.87252846229619,5.47663853110034e-23,6.09321675239338e-20,"col6a4a"
"ENSDARG00000079753",50.8513951320467,-0.110840136069078,0.594142406195369,-0.186554830817161,0.852009684675023,0.946827143340789,"kiz"
"ENSDARG00000079756",240.608432481053,0.537384374553848,0.597055415731497,0.900057784243459,0.368089500423418,0.645098834359812,"peak1"
"ENSDARG00000079762",371.163407480371,-0.0585225179769848,0.451792407502722,-0.12953408911953,0.896935052944429,0.965102624844562,"si:dkey-253d23.4"
"ENSDARG00000079766",57.9595004668726,0.952519770551171,0.584747885066493,1.62894094168952,0.103325521861484,0.320813730784344,"tap1"
"ENSDARG00000079780",141.746160141379,0.813127570779863,0.505948425595811,1.60713529214428,0.108024692900907,0.329353202767756,"hnrnpul1l"
"ENSDARG00000079783",165.920341003013,-1.31520508467086,0.546957673949247,-2.40458292718441,0.0161909322885405,0.112319822791415,"isg20"
"ENSDARG00000079784",38.0219980459299,1.0478865254973,0.671409921063475,1.56072541173879,0.118588552786415,0.346677418053739,"tmem71"
"ENSDARG00000079788",52.1556422660674,2.16297374154577,0.568766369411924,3.80292130102942,0.000142999793215354,0.00527400618568562,"fam171a1"
"ENSDARG00000079790",42.7369642710538,-1.42508220467958,0.683924472538536,-2.08368359650894,0.03718895727915,0.181996941723644,"LOC794598"
"ENSDARG00000079795",31.6047103032575,0.551421542530193,0.740871184215081,0.744288014271198,0.456702250809106,0.716520438465439,"vstm5"
"ENSDARG00000079796",52.5943258531422,-1.14897023882479,0.637473677326898,-1.80238067812107,0.0714855330297812,0.26302863177957,"ldah"
